id_mahasiswa,nama,tgl_lahir,bidang_studi,tahun_masuk,semester,biaya_masuk,diskon,bulan_masuk,pendapatan_ortu,tahun_lulus,kategori_pendapatan
2015Z024867,Jonathan Holland,1998-12-10,Chemical Engineering,2015,Genap,6663169,4033718,Januari,9342701,2019,Menengah
2015Z031651,Elizabeth Schmitt,1997-12-24,Computer Science,2015,Genap,7670715,2292174,Januari,7137949,2019,Menengah
2015Z012164,Mark Williams,2003-02-12,Computer Science,2015,Genap,7670715,1951207,Januari,8177844,2019,Menengah
2015Z024868,Amy Patrick,1998-02-27,Civil Engineering,2015,Gasal,5000000,3514594,Agustus,4576467,2019,Bawah
2015Z001189,George Ramirez,2001-06-18,Chemical Engineering,2015,Genap,6663169,45627,Januari,6933948,2019,Menengah
2015Z030875,Lisa Lopez,2004-04-07,Civil Engineering,2015,Genap,5000000,295199,Januari,4376717,2019,Bawah
2015Z000402,Ronald Jones MD,2001-04-30,Computer Science,2015,Gasal,7670715,1709933,Agustus,1349395,2019,Bawah
2015Z017805,Nicole Hunter,2003-05-22,Electrical Engineering,2015,Gasal,6691529,3323598,Agustus,2882493,2019,Bawah
2015Z021902,Joshua Barnes,2001-07-26,Computer Science,2015,Genap,7670715,4575315,Januari,8715104,2019,Menengah
2015Z020364,Dale Hernandez,1998-07-08,Computer Science,2015,Gasal,7670715,4925702,Agustus,2068219,2019,Bawah
2015Z021525,David Bryant,2003-05-21,Computer Science,2015,Gasal,7670715,3326847,Agustus,8994176,2019,Menengah
2015Z023653,Walter Higgins,2003-03-13,Chemical Engineering,2015,Gasal,6663169,4382010,Agustus,2494846,2019,Bawah
2015Z018987,Felicia Watson PhD,2001-08-03,Civil Engineering,2015,Genap,5000000,940193,Januari,3875772,2019,Bawah
2015Z006310,William Park,2001-06-02,Computer Science,2015,Genap,7670715,3952471,Januari,2964185,2019,Bawah
2015Z029140,Kurt Madden,2000-02-15,Computer Science,2015,Genap,7670715,4395811,Januari,1751615,2019,Bawah
2015Z001044,Karen Harris,2000-11-14,Civil Engineering,2015,Genap,5000000,3804466,Januari,3987581,2019,Bawah
2015Z012236,Jessica Riggs,1999-10-04,Civil Engineering,2015,Genap,5000000,2300006,Januari,9511880,2019,Menengah
2015Z006664,Martha Salas,1997-07-27,Electrical Engineering,2015,Gasal,6691529,2206951,Agustus,9836586,2019,Menengah
2015Z025788,Mercedes Murray,2002-02-02,Chemical Engineering,2015,Gasal,6663169,2884137,Agustus,6200913,2019,Menengah
2015Z015728,John Nelson,1999-09-13,Civil Engineering,2015,Genap,5000000,1834585,Januari,6355029,2019,Menengah
2015Z020870,Douglas Smith,2006-01-20,Computer Science,2015,Genap,7670715,758021,Januari,3188493,2019,Bawah
